"KAD_GEM_CODE","KAD_NAAM","BURG_NR","BURG_GEM_KODE","BURG_NAAM","BEW_CODE","BEW_NAAM","MAPINFO_ID"
"SMD00","SOMMELSDIJK","1924","GRE01","GOEREE-OVERFLAKKEE","15","ROTTERDAM",20894
"SMN01","SCHIERMONNIKOOG","0088","SMN01","SCHIERMONNIKOOG","20","LEEUWARDEN",20895
"SMN02","SWALMEN","0957","RMD00","ROERMOND","18","ROERMOND",20896
"SMR01","SCHERMER","0458","SMR01","SCHERMER","24","ALKMAAR",20897
"SMR02","SOMEREN","0847","SMR02","SOMEREN","19","EINDHOVEN",20898
"SMT00","SCHIMMERT","0951","NUT00","NUTH","18","ROERMOND",20899
"SNB00","SCHOONEBEEK","0114","EMN00","EMMEN","21","ASSEN",20900
"SNE00","SNEEK","1900","FLN00","SUDWEST FRYSLAN","20","LEEUWARDEN",20901
"SNG00","SCHARNEGOUTUM","1900","FLN00","SUDWEST FRYSLAN","20","LEEUWARDEN",20902
"SNN00","SCHINNEN","0962","SNN00","SCHINNEN","18","ROERMOND",20903
"SOE00","SOEST","0342","SOE00","SOEST","17","UTRECHT",20904
"SON00","SON EN BREUGEL","0848","SON00","SON EN BREUGEL","19","EINDHOVEN",20905
"SPM00","SAPPEMEER","0018","HGZ00","HOOGEZAND-SAPPEMEER","22","GRONINGEN",20906
"SPN00","SCHERPENISSE","0716","TLN00","THOLEN","12","MIDDELBURG",20907
"SPR01","SPRANG","0867","WWK00","WAALWIJK","13","BREDA",20908
"SPV00","SIMPELVELD","0965","SPV00","SIMPELVELD","18","ROERMOND",20909
"SPZ00","SCHERPENZEEL","0279","SPZ00","SCHERPENZEEL","25","ARNHEM",20910
"SRD00","SOERENDONK","1706","CND00","CRANENDONCK","19","EINDHOVEN",20911
"SRN00","HOOG SOEREN","0200","APD00","APELDOORN","25","ARNHEM",20912
"SRW01","SNELREWAARD","0589","ODW00","OUDEWATER","17","UTRECHT",20913
"SRW02","SCHOONREWOERD","0545","LDM00","LEERDAM","15","ROTTERDAM",20914
"SRY00","STRAMPROY","0988","WEE01","WEERT","18","ROERMOND",20915
"SSH00","SASSENHEIM","1525","TLG00","TEYLINGEN","16","ZOETERMEER",20916
"STB00","STOUTENBURG","0327","LDN02","LEUSDEN","17","UTRECHT",20917
"STD00","SITTARD","1883","STD01","SITTARD-GELEEN","18","ROERMOND",20918
"STE00","STEIN","0971","STE00","STEIN","18","ROERMOND",20919
"STM00","STRATUM","0772","EHV00","EINDHOVEN","19","EINDHOVEN",20920
"STN01","SCHOTEN","0392","HLM01","HAARLEM","14","AMSTERDAM",20921
"STN02","SLOTEN (N.H.)","0363","ASD02","AMSTERDAM","14","AMSTERDAM",20922
"STN03","SLOTEN (FR)","0653","GTL01","GAASTERLAN-SLEAT","20","LEEUWARDEN",20923
"STR01","SUSTEREN","1711","ECH01","ECHT-SUSTEREN","18","ROERMOND",20924
"STR02","SLOCHTEREN","0040","STR02","SLOCHTEREN","22","GRONINGEN",20925
"STR03","STRIJP","0772","EHV00","EINDHOVEN","19","EINDHOVEN",20926
"SVD00","SCHINVELD","0881","ODB00","ONDERBANKEN","18","ROERMOND",20927
"SVN01","SEVENUM","1507","HOR03","HORST AAN DE MAAS","18","ROERMOND",20928
"SVN02","STAVENISSE","0716","TLN00","THOLEN","12","MIDDELBURG",20929
"SVR00","STAVEREN","1900","FLN00","SUDWEST FRYSLAN","20","LEEUWARDEN",20930
"SVW00","STEVENSWEERT","1641","MGW00","MAASGOUW","18","ROERMOND",20931
"SWK01","STEENWIJK","1708","SWK02","STEENWIJKERLAND","23","ZWOLLE",20932
"SWK02","STOLWIJK","0623","VLI00","VLIST","15","ROTTERDAM",20933
"SWK03","STOMPWIJK","1916","LSD01","LEIDSCHENDAM-VOORBURG","16","ZOETERMEER",20934
"SWK05","STEENWIJKERWOLD","1708","SWK02","STEENWIJKERLAND","23","ZWOLLE",20935
"TBG01","TILBURG","0855","TBG01","TILBURG","13","BREDA",20936
"TBG02","TUBBERGEN","0183","TBG02","TUBBERGEN","23","ZWOLLE",20937
"TEL00","TEXEL","0448","TEL00","TEXEL","24","ALKMAAR",20938
"TGE00","NIEUWE TONGE","1924","GRE01","GOEREE-OVERFLAKKEE","15","ROTTERDAM",20939
